User CPU%,System CPU%,Idle CPU%,I/O Wait CPU%
14.8,8.2,77,0
2.8,2.7,94.6,0
3.8,3,93.2,0
6.8,4.4,88.8,0
6.4,5.2,88.4,0
2.1,1.8,96.1,0
4.1,2.9,93,0
4,2.9,93.1,0
3.1,1.9,95,0
2.4,1.6,96,0
