              disk0              disk10              disk12              disk14 
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s 
   24.00   58  1.36     8.33    0  0.00     8.08    0  0.00     8.71    0  0.00 
    9.23   13  0.12     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    0.00    0  0.00     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    4.00    1  0.00     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    8.00    6  0.05     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    0.00    0  0.00     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    7.00    4  0.03     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    0.00    0  0.00     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    7.00   14  0.10     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
