User CPU%,System CPU%,Idle CPU%,I/O Wait CPU%
3.2,2.6,94.2,0
11.7,6.3,82,0
4.5,1.9,93.7,0
5,1.9,93.1,0
4.2,1.9,93.9,0
4.2,1.7,94,0
4.2,1.7,94,0
5.1,2,92.9,0
3.6,1.8,94.6,0
0.9,0.6,98.5,0
2.1,2.2,95.6,0
1.6,1.1,97.2,0
