CPU Total ubuntu,User%,Sys%,Wait%,Idle%,Steal%,Busy,CPUs
2024-03-26 16:14:53,49.6,0.7,0.0,49.7,0.0,,8
2024-03-26 16:14:55,49.7,0.8,0.0,49.6,0.0,,8
2024-03-26 16:14:57,49.5,1.0,0.0,49.5,0.0,,8
2024-03-26 16:14:59,49.3,1.1,0.1,49.5,0.0,,8
2024-03-26 16:15:01,49.5,0.8,0.0,49.7,0.0,,8
2024-03-26 16:15:03,49.6,0.8,0.0,49.6,0.0,,8
2024-03-26 16:15:05,49.6,0.8,0.0,49.7,0.0,,8
2024-03-26 16:15:07,49.5,0.9,0.0,49.6,0.0,,8
2024-03-26 16:15:09,49.3,1.1,0.1,49.5,0.0,,8
2024-03-26 16:15:11,49.5,1.2,0.0,49.3,0.0,,8
2024-03-26 16:15:13,49.6,0.8,0.0,49.7,0.0,,8
2024-03-26 16:15:15,49.2,1.3,0.0,49.5,0.0,,8
2024-03-26 16:15:17,49.7,0.7,0.0,49.6,0.0,,8
2024-03-26 16:15:19,49.4,0.9,0.1,49.6,0.0,,8
2024-03-26 16:15:21,49.4,1.2,0.0,49.4,0.0,,8
2024-03-26 16:15:23,49.5,0.9,0.0,49.6,0.0,,8
2024-03-26 16:15:25,49.5,0.9,0.1,49.6,0.0,,8
2024-03-26 16:15:27,49.5,0.9,0.0,49.6,0.0,,8
2024-03-26 16:15:29,49.5,1.0,0.0,49.5,0.0,,8
2024-03-26 16:15:31,49.4,1.1,0.0,49.5,0.0,,8
2024-03-26 16:15:33,49.8,0.7,0.0,49.6,0.0,,8
2024-03-26 16:15:35,49.2,1.1,0.1,49.6,0.0,,8
2024-03-26 16:15:37,49.4,0.9,0.0,49.7,0.0,,8
2024-03-26 16:15:39,50.0,0.3,0.0,49.8,0.0,,8
2024-03-26 16:15:41,50.1,0.2,0.0,49.7,0.0,,8
2024-03-26 16:15:43,49.6,1.0,0.0,49.4,0.0,,8
2024-03-26 16:15:45,49.6,0.9,0.0,49.6,0.0,,8
2024-03-26 16:15:47,49.4,1.1,0.1,49.5,0.0,,8
2024-03-26 16:15:49,49.1,1.2,0.0,49.6,0.0,,8
2024-03-26 16:15:51,49.4,1.2,0.0,49.4,0.0,,8
2024-03-26 16:15:53,49.8,0.6,0.0,49.6,0.0,,8
2024-03-26 16:15:55,49.3,1.1,0.0,49.6,0.0,,8
2024-03-26 16:15:57,49.7,0.7,0.1,49.5,0.0,,8
2024-03-26 16:15:59,49.1,1.1,0.0,49.7,0.0,,8
2024-03-26 16:16:01,49.9,0.5,0.0,49.6,0.0,,8
2024-03-26 16:16:03,49.7,0.8,0.1,49.4,0.0,,8
2024-03-26 16:16:05,49.4,0.9,0.0,49.6,0.0,,8
2024-03-26 16:16:07,49.7,0.7,0.0,49.6,0.0,,8
2024-03-26 16:16:09,49.3,1.1,0.0,49.5,0.0,,8
2024-03-26 16:16:11,49.7,0.8,0.0,49.5,0.0,,8
2024-03-26 16:16:13,49.2,1.1,0.1,49.6,0.0,,8
2024-03-26 16:16:15,49.4,1.1,0.0,49.5,0.0,,8
2024-03-26 16:16:17,49.4,1.0,0.1,49.5,0.0,,8
2024-03-26 16:16:19,49.4,1.1,0.0,49.5,0.0,,8
2024-03-26 16:16:21,49.4,1.1,0.0,49.5,0.0,,8
2024-03-26 16:16:23,49.4,1.1,0.1,49.4,0.0,,8
2024-03-26 16:16:25,49.1,1.3,0.0,49.6,0.0,,8
2024-03-26 16:16:27,49.3,1.0,0.0,49.7,0.0,,8
2024-03-26 16:16:29,49.6,0.9,0.1,49.4,0.0,,8
2024-03-26 16:16:31,49.5,0.8,0.0,49.7,0.0,,8
2024-03-26 16:16:33,49.9,0.6,0.1,49.4,0.0,,8
2024-03-26 16:16:35,50.0,0.2,0.1,49.7,0.0,,8
2024-03-26 16:16:37,49.8,0.8,0.0,49.4,0.0,,8
2024-03-26 16:16:39,49.7,0.7,0.0,49.6,0.0,,8
2024-03-26 16:16:41,49.6,0.8,0.1,49.6,0.0,,8
2024-03-26 16:16:43,49.4,1.1,0.0,49.5,0.0,,8
2024-03-26 16:16:45,49.5,0.8,0.0,49.7,0.0,,8
2024-03-26 16:16:47,49.5,1.1,0.0,49.4,0.0,,8
2024-03-26 16:16:49,49.5,0.8,0.0,49.7,0.0,,8
2024-03-26 16:16:51,49.5,0.9,0.1,49.6,0.0,,8
2024-03-26 16:16:53,49.6,0.8,0.0,49.6,0.0,,8
2024-03-26 16:16:55,49.7,0.7,0.0,49.7,0.0,,8
2024-03-26 16:16:57,49.5,0.9,0.1,49.6,0.0,,8
2024-03-26 16:16:59,49.5,0.8,0.0,49.7,0.0,,8
2024-03-26 16:17:01,49.8,0.7,0.1,49.4,0.0,,8
2024-03-26 16:17:03,49.5,0.8,0.0,49.7,0.0,,8
2024-03-26 16:17:05,49.4,0.9,0.0,49.7,0.0,,8
2024-03-26 16:17:07,49.6,0.8,0.0,49.6,0.0,,8
2024-03-26 16:17:09,49.4,1.0,0.0,49.6,0.0,,8
2024-03-26 16:17:11,49.4,1.1,0.0,49.5,0.0,,8
2024-03-26 16:17:13,49.5,0.8,0.1,49.7,0.0,,8
2024-03-26 16:17:15,49.3,1.1,0.0,49.5,0.0,,8
2024-03-26 16:17:17,49.4,0.9,0.0,49.7,0.0,,8
2024-03-26 16:17:19,49.3,0.9,0.0,49.7,0.0,,8
2024-03-26 16:17:21,49.3,1.1,0.0,49.6,0.0,,8
2024-03-26 16:17:23,49.4,0.9,0.1,49.7,0.0,,8
2024-03-26 16:17:25,49.5,0.9,0.0,49.6,0.0,,8
2024-03-26 16:17:27,49.6,0.6,0.0,49.7,0.0,,8
2024-03-26 16:17:29,50.0,0.3,0.0,49.7,0.0,,8
2024-03-26 16:17:31,49.9,0.6,0.0,49.4,0.0,,8
2024-03-26 16:17:33,49.5,0.9,0.1,49.5,0.0,,8
2024-03-26 16:17:35,49.5,0.9,0.0,49.6,0.0,,8
2024-03-26 16:17:37,49.5,0.8,0.0,49.7,0.0,,8
2024-03-26 16:17:39,49.5,0.9,0.1,49.5,0.0,,8
2024-03-26 16:17:41,49.1,1.3,0.0,49.6,0.0,,8
2024-03-26 16:17:43,49.4,1.1,0.0,49.5,0.0,,8
2024-03-26 16:17:45,49.6,0.8,0.0,49.7,0.0,,8
2024-03-26 16:17:47,49.4,0.9,0.0,49.6,0.0,,8
2024-03-26 16:17:49,49.7,0.7,0.1,49.6,0.0,,8
2024-03-26 16:17:51,49.6,0.9,0.0,49.6,0.0,,8
2024-03-26 16:17:53,49.3,1.1,0.0,49.6,0.0,,8
2024-03-26 16:17:55,49.4,1.0,0.0,49.6,0.0,,8
2024-03-26 16:17:57,49.6,1.0,0.0,49.4,0.0,,8
2024-03-26 16:17:59,49.2,1.1,0.1,49.6,0.0,,8
2024-03-26 16:18:01,49.6,1.0,0.0,49.4,0.0,,8
2024-03-26 16:18:03,49.5,0.8,0.0,49.7,0.0,,8
2024-03-26 16:18:05,49.2,1.2,0.1,49.5,0.0,,8
2024-03-26 16:18:07,49.6,0.9,0.0,49.5,0.0,,8
2024-03-26 16:18:09,49.5,1.0,0.0,49.5,0.0,,8
2024-03-26 16:18:11,49.3,1.3,0.0,49.3,0.0,,8
2024-03-26 16:18:13,49.5,0.9,0.0,49.6,0.0,,8
2024-03-26 16:18:15,49.4,1.1,0.1,49.4,0.0,,8
2024-03-26 16:18:17,49.2,1.1,0.0,49.7,0.0,,8
2024-03-26 16:18:19,49.5,1.0,0.0,49.5,0.0,,8
2024-03-26 16:18:21,49.7,0.6,0.1,49.6,0.0,,8
2024-03-26 16:18:23,49.9,0.3,0.0,49.8,0.0,,8
2024-03-26 16:18:25,50.2,0.4,0.1,49.4,0.0,,8
2024-03-26 16:18:27,49.5,0.9,0.0,49.6,0.0,,8
2024-03-26 16:18:29,49.5,0.9,0.0,49.6,0.0,,8
2024-03-26 16:18:31,49.3,1.0,0.1,49.6,0.0,,8
2024-03-26 16:18:33,49.5,1.1,0.0,49.5,0.0,,8
2024-03-26 16:18:35,49.6,0.8,0.0,49.7,0.0,,8
2024-03-26 16:18:37,49.4,0.9,0.0,49.7,0.0,,8
2024-03-26 16:18:39,49.5,0.9,0.0,49.5,0.0,,8
2024-03-26 16:18:41,49.3,1.2,0.1,49.5,0.0,,8
2024-03-26 16:18:43,49.2,1.1,0.0,49.6,0.0,,8
2024-03-26 16:18:45,49.5,0.9,0.0,49.6,0.0,,8
2024-03-26 16:18:47,49.7,0.7,0.1,49.5,0.0,,8
