User CPU%,System CPU%,Idle CPU%,I/O Wait CPU%
12,5.4,82.6,0
3.7,3.2,93,0
3.6,1.5,94.9,0
4.4,2.7,92.9,0
4.4,2.5,93.2,0
3.9,1.5,94.6,0
3.5,1.6,94.9,0
3.4,1.8,94.9,0
4.1,1.5,94.4,0
3.3,1.4,95.4,0
3.6,2,94.4,0
2.7,1.4,95.9,0
2.9,1.1,96,0
3.1,1.6,95.3,0
3.1,1.4,95.5,0
2.7,1.1,96.1,0
2.9,1.6,95.5,0
2.5,1.1,96.4,0
2.7,1.4,95.9,0
2.6,1.4,96,0
2.9,1.2,95.9,0
2.9,1.5,95.6,0
2.1,1.9,96,0
1.1,0.6,98.3,0
