CPU Total raspberrypi,User%,Sys%,Wait%,Idle%,Steal%,Busy,CPUs
2024-05-11 17:16:15,2.5,1.8,93.0,2.8,0.0,,4
2024-05-11 17:16:16,5.8,0.8,88.5,5.0,0.0,,4
2024-05-11 17:16:17,6.0,0.5,90.0,3.5,0.0,,4
2024-05-11 17:16:18,2.9,0.5,94.2,2.4,0.0,,4
2024-05-11 17:16:19,3.0,0.5,92.8,3.8,0.0,,4
2024-05-11 17:16:20,1.0,0.8,98.2,0.0,0.0,,4
2024-05-11 17:16:21,1.3,0.8,74.2,23.8,0.0,,4
2024-05-11 17:16:22,1.8,0.5,76.5,21.2,0.0,,4
2024-05-11 17:16:23,7.0,0.5,68.7,23.8,0.0,,4
2024-05-11 17:16:24,10.3,0.0,88.2,1.5,0.0,,4
2024-05-11 17:16:25,9.3,0.5,89.2,1.0,0.0,,4
2024-05-11 17:16:26,8.7,0.2,90.5,0.5,0.0,,4
2024-05-11 17:16:27,10.0,0.5,88.5,1.0,0.0,,4
