CPU 3 raspberrypi,User%,Sys%,Wait%,Idle%,Steal%
2024-05-11 17:16:11,4.0,0.0,92.9,3.0,0.0
2024-05-11 17:16:12,3.0,1.0,96.0,0.0,0.0
2024-05-11 17:16:13,5.9,1.0,86.1,6.9,0.0
2024-05-11 17:16:14,3.0,1.0,94.9,1.0,0.0
2024-05-11 17:16:15,3.0,0.0,93.1,4.0,0.0
2024-05-11 17:16:16,3.0,1.0,86.9,9.1,0.0
2024-05-11 17:16:17,6.9,1.0,90.2,2.0,0.0
2024-05-11 17:16:18,2.0,0.0,96.1,2.0,0.0
2024-05-11 17:16:19,2.0,1.0,97.0,0.0,0.0
2024-05-11 17:16:20,1.0,0.0,99.0,0.0,0.0
2024-05-11 17:16:21,3.0,1.0,96.0,0.0,0.0
2024-05-11 17:16:22,4.9,1.0,94.1,0.0,0.0
2024-05-11 17:16:23,10.0,0.0,85.0,5.0,0.0
2024-05-11 17:16:24,11.0,0.0,89.0,0.0,0.0
2024-05-11 17:16:25,10.8,1.0,88.2,0.0,0.0
2024-05-11 17:16:26,9.0,0.0,91.0,0.0,0.0
2024-05-11 17:16:27,7.1,0.0,92.9,0.0,0.0
