Processes raspberrypi,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2024-04-02 15:12:31,5,0,482.7,-1.0,-1.0,-1.0,14.9,-1.0,-1.0,-1.0
2024-04-02 15:12:32,6,0,590.2,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0
2024-04-02 15:12:33,5,0,538.7,-1.0,-1.0,-1.0,16.0,-1.0,-1.0,-1.0
2024-04-02 15:12:34,5,0,478.0,-1.0,-1.0,-1.0,11.9,-1.0,-1.0,-1.0
2024-04-02 15:12:35,5,0,443.4,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0
2024-04-02 15:12:36,7,0,605.3,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0
2024-04-02 15:12:37,5,0,554.5,-1.0,-1.0,-1.0,11.9,-1.0,-1.0,-1.0
2024-04-02 15:12:38,5,0,637.4,-1.0,-1.0,-1.0,15.9,-1.0,-1.0,-1.0
2024-04-02 15:12:39,5,0,466.8,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0
2024-04-02 15:12:40,5,0,555.8,-1.0,-1.0,-1.0,14.9,-1.0,-1.0,-1.0
2024-04-02 15:12:41,5,0,434.6,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0
2024-04-02 15:12:42,5,0,554.9,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0
2024-04-02 15:12:43,6,0,474.4,-1.0,-1.0,-1.0,15.9,-1.0,-1.0,-1.0
