CPU 2 raspberrypi,User%,Sys%,Wait%,Idle%,Steal%
2024-04-02 15:11:34,4.5,0.9,0.0,94.5,0.0
2024-04-02 15:11:35,60.0,2.0,0.0,38.0,0.0
2024-04-02 15:11:36,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:11:37,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:11:38,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:11:39,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:11:40,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:11:41,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:11:42,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:11:43,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:11:44,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:11:45,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:11:46,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:11:47,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:11:48,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:11:49,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:11:50,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:11:51,97.0,1.0,0.0,2.0,0.0
2024-04-02 15:11:52,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:11:53,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:11:54,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:11:55,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:11:56,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:11:57,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:11:58,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:11:59,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:00,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:01,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:02,97.0,1.0,0.0,2.0,0.0
2024-04-02 15:12:03,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:12:04,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:12:05,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:12:06,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:12:07,96.0,3.0,0.0,1.0,0.0
2024-04-02 15:12:08,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:09,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:10,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:11,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:12:12,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:13,97.0,1.0,0.0,2.0,0.0
2024-04-02 15:12:14,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:12:15,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:12:16,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:17,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:18,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:19,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:12:20,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:21,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:22,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:23,97.1,1.0,0.0,2.0,0.0
2024-04-02 15:12:24,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:12:25,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:26,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:12:27,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:28,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:29,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:12:30,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:31,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:12:32,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:33,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:34,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:35,97.0,1.0,0.0,2.0,0.0
2024-04-02 15:12:36,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:37,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:38,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:39,99.0,1.0,0.0,0.0,0.0
2024-04-02 15:12:40,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:12:41,97.1,1.0,0.0,2.0,0.0
2024-04-02 15:12:42,97.0,3.0,0.0,0.0,0.0
2024-04-02 15:12:43,97.0,1.0,0.0,2.0,0.0
