Processes ubuntu,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2024-06-22 13:58:17,1,0,5302.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-22 13:58:18,3,0,3251.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-22 13:58:19,1,0,6093.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-22 13:58:20,1,0,1008.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-22 13:58:21,2,0,2448.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-22 13:58:22,1,0,2712.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-22 13:58:23,1,0,5300.1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-06-22 13:58:24,1,0,3175.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-22 13:58:25,2,0,2941.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-22 13:58:26,1,0,2268.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-22 13:58:27,1,0,3110.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-22 13:58:28,1,0,4147.4,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-06-22 13:58:29,4,0,10112.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-22 13:58:30,2,0,4222.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
