Processes ubuntu,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2024-03-27 02:49:26,5,0,1363.7,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0
2024-03-27 02:49:28,5,0,1049.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:49:30,5,0,1510.6,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-03-27 02:49:32,5,0,714.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:49:34,5,0,976.9,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-03-27 02:49:36,5,0,749.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:49:38,5,0,754.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:49:40,5,0,1243.5,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0
2024-03-27 02:49:42,5,0,1229.0,-1.0,-1.0,-1.0,0.5,-1.0,-1.0,-1.0
2024-03-27 02:49:44,5,0,1059.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:49:46,5,0,1102.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:49:48,5,0,1066.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:49:50,5,0,992.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:49:52,5,0,1005.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:49:54,5,0,1068.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:49:56,5,0,1168.8,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0
2024-03-27 02:49:58,5,0,1023.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:50:00,5,0,1085.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:50:02,5,0,976.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:50:04,5,0,1174.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:50:06,5,0,1214.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:50:08,5,0,1125.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:50:10,5,0,1327.8,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0
2024-03-27 02:50:12,5,0,1061.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:50:14,5,0,981.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:50:16,5,0,1044.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:50:18,5,0,1169.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:50:20,5,0,1087.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:50:22,5,0,1106.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:50:24,5,0,1102.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:50:26,5,0,1265.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0
