Context Switches
57206
52505
2840
5447
6157
5825
5759
5709
5760
5825
5842
5646
5386
5374
5367
5406
5472
5494
5545
5488
5526
5450
5467
6025
5952
6547
6597
6445
6478
6406
6433
6418
6514
6528
6540
6430
6499
6390
6395
46139
46455
50320
