CPU 3 raspberrypi,User%,Sys%,Wait%,Idle%,Steal%
2024-05-27 21:18:25,17.1,0.9,0.9,81.1,0.0
2024-05-27 21:18:26,89.2,1.0,0.0,9.8,0.0
2024-05-27 21:18:27,99.0,1.0,0.0,0.0,0.0
2024-05-27 21:18:28,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:18:29,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:18:30,99.0,1.0,0.0,0.0,0.0
2024-05-27 21:18:31,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:18:32,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:18:33,99.0,1.0,0.0,0.0,0.0
2024-05-27 21:18:34,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:18:35,97.0,3.0,0.0,0.0,0.0
2024-05-27 21:18:36,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:18:37,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:18:38,99.0,1.0,0.0,0.0,0.0
2024-05-27 21:18:39,97.0,2.0,0.0,1.0,0.0
2024-05-27 21:18:40,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:18:41,97.1,2.0,0.0,1.0,0.0
2024-05-27 21:18:42,100.0,0.0,0.0,0.0,0.0
2024-05-27 21:18:43,97.0,2.0,0.0,1.0,0.0
2024-05-27 21:18:44,97.0,2.0,0.0,1.0,0.0
2024-05-27 21:18:45,97.0,2.0,0.0,1.0,0.0
2024-05-27 21:18:46,98.0,2.0,0.0,0.0,0.0
2024-05-27 21:18:47,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:18:48,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:18:49,100.0,0.0,0.0,0.0,0.0
2024-05-27 21:18:50,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:18:51,99.0,0.0,0.0,1.0,0.0
2024-05-27 21:18:52,98.0,2.0,0.0,0.0,0.0
2024-05-27 21:18:53,97.0,2.0,0.0,1.0,0.0
2024-05-27 21:18:54,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:18:55,99.0,1.0,0.0,0.0,0.0
2024-05-27 21:18:56,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:18:57,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:18:58,98.0,2.0,0.0,0.0,0.0
2024-05-27 21:18:59,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:19:00,99.0,0.0,0.0,1.0,0.0
2024-05-27 21:19:01,99.0,1.0,0.0,0.0,0.0
2024-05-27 21:19:02,99.0,0.0,0.0,1.0,0.0
2024-05-27 21:19:03,100.0,0.0,0.0,0.0,0.0
2024-05-27 21:19:04,100.0,0.0,0.0,0.0,0.0
2024-05-27 21:19:05,100.0,0.0,0.0,0.0,0.0
2024-05-27 21:19:06,100.0,0.0,0.0,0.0,0.0
2024-05-27 21:19:07,99.0,1.0,0.0,0.0,0.0
2024-05-27 21:19:08,100.0,0.0,0.0,0.0,0.0
2024-05-27 21:19:09,100.0,0.0,0.0,0.0,0.0
2024-05-27 21:19:10,100.0,0.0,0.0,0.0,0.0
2024-05-27 21:19:11,100.0,0.0,0.0,0.0,0.0
2024-05-27 21:19:12,100.0,0.0,0.0,0.0,0.0
2024-05-27 21:19:13,100.0,0.0,0.0,0.0,0.0
2024-05-27 21:19:14,100.0,0.0,0.0,0.0,0.0
2024-05-27 21:19:15,99.0,1.0,0.0,0.0,0.0
2024-05-27 21:19:16,100.0,0.0,0.0,0.0,0.0
2024-05-27 21:19:17,99.0,1.0,0.0,0.0,0.0
2024-05-27 21:19:18,100.0,0.0,0.0,0.0,0.0
2024-05-27 21:19:19,99.0,1.0,0.0,0.0,0.0
2024-05-27 21:19:20,99.0,0.0,0.0,1.0,0.0
2024-05-27 21:19:21,100.0,0.0,0.0,0.0,0.0
2024-05-27 21:19:22,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:19:23,97.0,2.0,0.0,1.0,0.0
2024-05-27 21:19:24,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:19:25,100.0,0.0,0.0,0.0,0.0
2024-05-27 21:19:26,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:19:27,99.0,0.0,0.0,1.0,0.0
2024-05-27 21:19:28,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:19:29,100.0,0.0,0.0,0.0,0.0
2024-05-27 21:19:30,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:19:31,99.0,0.0,0.0,1.0,0.0
2024-05-27 21:19:32,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:19:33,100.0,0.0,0.0,0.0,0.0
2024-05-27 21:19:34,99.0,0.0,0.0,1.0,0.0
2024-05-27 21:19:35,99.0,0.0,0.0,1.0,0.0
2024-05-27 21:19:36,98.0,1.0,0.0,1.0,0.0
2024-05-27 21:19:37,99.0,1.0,0.0,0.0,0.0
2024-05-27 21:19:38,99.0,0.0,0.0,1.0,0.0
2024-05-27 21:19:39,97.0,2.0,0.0,1.0,0.0
