Network I/O raspberrypi,lo-read-KB/s,eth0-read-KB/s,wlan0-read-KB/s,lo-write-KB/s,eth0-write-KB/s,wlan0-write-KB/s
2024-05-27 21:18:25,0.0,0.0,3.5,0.0,0.0,0.3
2024-05-27 21:18:26,0.0,0.0,3.9,0.0,0.0,0.0
2024-05-27 21:18:27,0.0,0.0,3.3,0.0,0.0,0.1
2024-05-27 21:18:28,0.0,0.0,2.3,0.0,0.0,0.1
2024-05-27 21:18:29,0.0,0.0,3.2,0.0,0.0,0.0
2024-05-27 21:18:30,0.0,0.0,3.2,0.0,0.0,0.2
2024-05-27 21:18:31,0.0,0.0,1.0,0.0,0.0,0.1
2024-05-27 21:18:32,0.0,0.0,4.7,0.0,0.0,0.0
2024-05-27 21:18:33,0.0,0.0,4.1,0.0,0.0,0.1
2024-05-27 21:18:34,0.0,0.0,3.5,0.0,0.0,0.1
2024-05-27 21:18:35,0.0,0.0,2.1,0.0,0.0,0.0
2024-05-27 21:18:36,0.0,0.0,2.1,0.0,0.0,0.1
2024-05-27 21:18:37,0.0,0.0,2.8,0.0,0.0,0.2
2024-05-27 21:18:38,0.0,0.0,3.9,0.0,0.0,0.0
2024-05-27 21:18:39,0.0,0.0,3.1,0.0,0.0,0.1
2024-05-27 21:18:40,0.0,0.0,2.8,0.0,0.0,0.1
2024-05-27 21:18:41,0.0,0.0,3.9,0.0,0.0,0.0
2024-05-27 21:18:42,0.0,0.0,2.1,0.0,0.0,0.1
2024-05-27 21:18:43,0.0,0.0,2.8,0.0,0.0,0.2
2024-05-27 21:18:44,0.0,0.0,3.9,0.0,0.0,0.0
2024-05-27 21:18:45,0.0,0.0,1.9,0.0,0.0,0.0
2024-05-27 21:18:46,0.0,0.0,4.0,0.0,0.0,0.3
2024-05-27 21:18:47,0.0,0.0,3.9,0.0,0.0,0.0
2024-05-27 21:18:48,0.0,0.0,1.9,0.0,0.0,0.0
2024-05-27 21:18:49,0.0,0.0,3.0,0.0,0.0,0.3
2024-05-27 21:18:50,0.0,0.0,3.9,0.0,0.0,0.0
