User CPU%,System CPU%,Idle CPU%,I/O Wait CPU%
0.0,0.0,0.0,0
3.3,3.0,93.7,0
14.1,6.8,79.1,0
4.0,2.0,94.0,0
4.5,2.0,93.5,0
3.9,2.0,94.1,0
3.8,1.3,95.0,0
3.5,1.5,95.0,0
3.6,1.5,94.9,0
3.4,1.4,95.2,0
3.4,1.5,95.1,0
3.6,1.4,95.0,0
3.6,1.6,94.8,0
4.8,2.4,92.9,0
4.9,2.5,92.7,0
4.4,2.0,93.6,0
3.9,1.5,94.6,0
3.7,1.5,94.8,0
3.4,1.3,95.4,0
3.6,2.0,94.3,0
2.2,2.0,95.8,0
