Total Virtual Memory,Used Virtual Memory
16384.00,7764.25
16384.00,7708.03
16384.00,7793.39
16384.00,8718.77
16384.00,8721.84
16384.00,8722.50
16384.00,8725.81
16384.00,8715.14
16384.00,8715.66
16384.00,8715.62
16384.00,8704.14
16384.00,8702.98
16384.00,8703.92
16384.00,8704.19
16384.00,8704.14
16384.00,8703.98
16384.00,8704.69
16384.00,8704.62
16384.00,8704.69
16384.00,8237.30
16384.00,8167.72
16384.00,8114.44
16384.00,8074.81
